image_id,source_dataset,dataset_version,image_path,split,subtype_label,clinical_quality,confidence_source,primary_use,condition_family,source_weight,sha256,notes
tiswan_000001,tiswan,cleaned_v1,datasets/skin/acne/final/subtype_classification/train/open_comedo/tiswan_000001.jpg,train,open_comedo,borderline,non_expert,subtype_classification,acne,1.0,30e140f222c9e14e291f5ab9c811f519c5c3e11255941659949a196489843711,Cleaned fine-grained classification image. Class: Blackheads. Blur score: 51.86.
tiswan_000002,tiswan,cleaned_v1,datasets/skin/acne/final/subtype_classification/train/open_comedo/tiswan_000002.jpg,train,open_comedo,usable,non_expert,subtype_classification,acne,1.0,2a3d8a8840c9bec76ce7ea7a9fc7b7eb1e987fa6183751850cef93f5dda706e2,Cleaned fine-grained classification image. Class: Blackheads. Blur score: 63.33.
tiswan_000003,tiswan,cleaned_v1,datasets/skin/acne/final/subtype_classification/train/open_comedo/tiswan_000003.jpg,train,open_comedo,usable,non_expert,subtype_classification,acne,1.0,27602755c78a19aae13de047f229c1bd5392e7540b16b2f4804eccb85e00250d,Cleaned fine-grained classification image. Class: Blackheads. Blur score: 65.43.
tiswan_000004,tiswan,cleaned_v1,datasets/skin/acne/final/subtype_classification/train/open_comedo/tiswan_000004.jpg,train,open_comedo,usable,non_expert,subtype_classification,acne,1.0,36c400db677dd5b2ac77a63713371faa38efbe301b4686426ae0c6cf5b1e9aca,Cleaned fine-grained classification image. Class: Blackheads. Blur score: 123.81.
tiswan_000005,tiswan,cleaned_v1,datasets/skin/acne/final/subtype_classification/train/open_comedo/tiswan_000005.jpg,train,open_comedo,borderline,non_expert,subtype_classification,acne,1.0,611673666f082d361f8f85665688915731f45ecce15fb5d9a67ebaca58c96103,Cleaned fine-grained classification image. Class: Blackheads. Blur score: 45.84.
tiswan_000006,tiswan,cleaned_v1,datasets/skin/acne/final/subtype_classification/train/open_comedo/tiswan_000006.jpg,train,open_comedo,usable,non_expert,subtype_classification,acne,1.0,1c7722718c7194faecee1f385b0ceb9d2bf440070ed64d020a2da0f6629d4bf1,Cleaned fine-grained classification image. Class: Blackheads. Blur score: 116.07.
tiswan_000007,tiswan,cleaned_v1,datasets/skin/acne/final/subtype_classification/train/open_comedo/tiswan_000007.jpg,train,open_comedo,usable,non_expert,subtype_classification,acne,1.0,0ead40316af1c01ab966e209eb69b6f9097ad89e5b3a0889d0360ef67d843a8b,Cleaned fine-grained classification image. Class: Blackheads. Blur score: 114.14.
tiswan_000008,tiswan,cleaned_v1,datasets/skin/acne/final/subtype_classification/train/open_comedo/tiswan_000008.jpg,train,open_comedo,usable,non_expert,subtype_classification,acne,1.0,033998fb92de768ac58a691c787552c1eca1277f34906545820ae32d67eebaa1,Cleaned fine-grained classification image. Class: Blackheads. Blur score: 94.92.
tiswan_000009,tiswan,cleaned_v1,datasets/skin/acne/final/subtype_classification/train/open_comedo/tiswan_000009.jpg,train,open_comedo,borderline,non_expert,subtype_classification,acne,1.0,5a2db2abf5d01fce7c3b2e50cb92f99b9aae3563f5883933bc43d6cfc49de0df,Cleaned fine-grained classification image. Class: Blackheads. Blur score: 56.68.
tiswan_000010,tiswan,cleaned_v1,datasets/skin/acne/final/subtype_classification/train/open_comedo/tiswan_000010.jpg,train,open_comedo,borderline,non_expert,subtype_classification,acne,1.0,14d24877a3d89f596622469386ccfd8533eb5176446a08fa252061bbc0022b3f,Cleaned fine-grained classification image. Class: Blackheads. Blur score: 48.78.
