epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.023,1.97464,1.62942,1.34713,0.37486,0.40524,0.32362,0.11153,2.35196,1.85273,1.70952,0.0022,0.0022,0.0802
2,16.6093,2.05317,1.6934,1.37023,0.35312,0.21048,0.18956,0.06324,2.56027,3.29117,1.6275,0.0043218,0.0043218,0.0593218
3,24.1708,2.04658,1.72629,1.37955,0.4322,0.35983,0.32981,0.11105,2.47247,1.93165,1.8139,0.00626144,0.00626144,0.0382614
4,31.6614,2.13061,1.70882,1.40719,0.25067,0.17729,0.12792,0.0461,2.65218,2.46491,1.90307,0.00801892,0.00801892,0.0170189
5,38.9288,2.09209,1.76683,1.43162,0.42773,0.41223,0.36908,0.13112,2.31321,1.86633,1.54971,0.008416,0.008416,0.008416
6,46.3951,2.04225,1.7127,1.38789,0.29964,0.28559,0.21404,0.06441,2.5639,2.43403,1.66565,0.00802,0.00802,0.00802
7,53.9317,2.05013,1.65519,1.36486,0.37716,0.40934,0.33947,0.11944,2.18528,1.85408,1.47118,0.007624,0.007624,0.007624
8,61.5053,2.06248,1.73017,1.40892,0.50906,0.46186,0.46144,0.19111,2.02083,1.69074,1.47064,0.007228,0.007228,0.007228
9,69.0443,2.02658,1.69391,1.36333,0.47368,0.41572,0.40945,0.15353,2.12132,1.80309,1.51929,0.006832,0.006832,0.006832
10,76.563,2.0088,1.65657,1.35224,0.43026,0.44105,0.38308,0.13824,2.01044,1.77858,1.37639,0.006436,0.006436,0.006436
11,83.9656,2.01315,1.63323,1.33619,0.48022,0.47445,0.4524,0.16259,2.05263,1.74233,1.41416,0.00604,0.00604,0.00604
12,91.4368,1.97497,1.65544,1.35648,0.43775,0.48734,0.43087,0.18191,1.95205,1.76736,1.38599,0.005644,0.005644,0.005644
13,98.9409,1.97111,1.61072,1.32625,0.40867,0.39836,0.35324,0.14448,2.07488,1.90282,1.49191,0.005248,0.005248,0.005248
14,106.365,1.97465,1.5998,1.33654,0.48294,0.51004,0.46279,0.19366,2.01486,1.64355,1.421,0.004852,0.004852,0.004852
15,113.766,1.96545,1.58498,1.31627,0.52049,0.55742,0.54477,0.23573,1.8799,1.52014,1.347,0.004456,0.004456,0.004456
16,120.569,1.87489,1.66847,1.3694,0.43693,0.45328,0.41607,0.18332,1.90383,1.69532,1.33586,0.00406,0.00406,0.00406
17,127.188,1.87305,1.61313,1.36091,0.54329,0.55109,0.55743,0.2405,1.8652,1.56409,1.31913,0.003664,0.003664,0.003664
18,134.016,1.89725,1.60662,1.34347,0.46313,0.42533,0.42262,0.17208,1.96982,1.91728,1.35607,0.003268,0.003268,0.003268
19,140.672,1.87002,1.58991,1.33742,0.43949,0.46201,0.42577,0.15633,2.0051,1.70232,1.33125,0.002872,0.002872,0.002872
20,147.286,1.86771,1.54671,1.32566,0.54853,0.57904,0.56798,0.25224,1.83943,1.52758,1.31657,0.002476,0.002476,0.002476
21,153.919,1.87354,1.53126,1.33406,0.51729,0.54148,0.51519,0.19347,1.95712,1.60455,1.33722,0.00208,0.00208,0.00208
22,160.64,1.88294,1.51963,1.33445,0.5732,0.59115,0.57056,0.25444,1.81379,1.49238,1.30324,0.001684,0.001684,0.001684
23,167.276,1.8391,1.52413,1.32022,0.56597,0.57205,0.57912,0.25132,1.82983,1.48215,1.30275,0.001288,0.001288,0.001288
24,174,1.82127,1.49089,1.31736,0.58146,0.58515,0.58504,0.26803,1.79918,1.45753,1.32005,0.000892,0.000892,0.000892
25,180.769,1.82766,1.48909,1.33671,0.58439,0.587,0.58362,0.26675,1.80897,1.46805,1.32407,0.000496,0.000496,0.000496
