epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5434,2.79587,5.15262,1.83263,0.00056,0.01135,0.0003,7e-05,nan,nan,nan,0.0022,0.0022,0.0802
2,24.4923,2.56687,2.23605,1.77337,0,0,0,0,nan,nan,nan,0.0044406,0.0044406,0.0594406
3,34.9889,2.44649,2.012,1.74238,0.00046,0.00786,0.00023,7e-05,nan,nan,nan,0.00662048,0.00662048,0.0386205
4,45.7869,2.35144,2.00034,1.61312,0.00043,0.00873,0.00028,6e-05,nan,nan,nan,0.00873964,0.00873964,0.0177396
5,56.24,2.33719,2.03263,1.66528,0.00051,0.01048,0.00033,7e-05,nan,nan,nan,0.009472,0.009472,0.009472
6,66.232,2.25484,1.94729,1.59847,0.00064,0.0131,0.00038,8e-05,nan,nan,nan,0.00934,0.00934,0.00934
7,77.503,2.2653,1.80468,1.58398,0.00064,0.0131,0.00078,0.00024,3.8715,inf,9.67199,0.009208,0.009208,0.009208
8,88.1989,2.26528,1.85439,1.62155,0.02872,0.2663,0.01746,0.00576,3.04026,inf,2.51856,0.009076,0.009076,0.009076
9,98.341,2.2023,1.86857,1.55846,0.01666,0.0559,0.00471,0.00159,3.7124,9.15281,3.50558,0.008944,0.008944,0.008944
10,108.573,2.18379,1.82607,1.53349,0.02305,0.08821,0.01158,0.00432,3.05761,4.61497,2.19902,0.008812,0.008812,0.008812
11,118.515,2.17108,1.76334,1.50521,0.09103,0.05729,0.02394,0.00706,3.7472,3.2393,3.28688,0.00868,0.00868,0.00868
12,128.548,2.13225,1.78243,1.53173,0.35959,0.39389,0.30662,0.09529,2.4409,2.13988,1.76702,0.008548,0.008548,0.008548
13,138.916,2.10587,1.74802,1.49285,0.32295,0.29494,0.237,0.08562,2.21477,2.44342,1.60403,0.008416,0.008416,0.008416
14,148.903,2.14153,1.75517,1.52744,0.39694,0.35197,0.31432,0.11124,2.21406,1.923,1.64229,0.008284,0.008284,0.008284
15,158.915,2.11513,1.74726,1.50478,0.36414,0.36769,0.31916,0.10979,2.20927,1.91212,1.65501,0.008152,0.008152,0.008152
16,169.473,2.07433,1.76062,1.50199,0.46204,0.45082,0.43093,0.15813,2.11452,1.78572,1.54944,0.00802,0.00802,0.00802
17,180.685,2.11159,1.68037,1.48551,0.41835,0.39214,0.34755,0.11796,2.1495,1.87391,1.56452,0.007888,0.007888,0.007888
18,191.168,2.10984,1.70965,1.51467,0.33349,0.33037,0.26076,0.0945,2.48578,2.12998,1.8061,0.007756,0.007756,0.007756
19,201.195,2.12503,1.70354,1.50855,0.3705,0.38952,0.32571,0.12368,2.23479,2.01839,1.62938,0.007624,0.007624,0.007624
20,210.872,2.10821,1.72569,1.48564,0.35317,0.38864,0.3233,0.10992,2.23295,1.97156,1.59561,0.007492,0.007492,0.007492
21,220.658,2.07201,1.72575,1.47625,0.40507,0.41572,0.36085,0.12385,2.1203,1.88339,1.54832,0.00736,0.00736,0.00736
22,230.45,2.05251,1.69686,1.46499,0.41626,0.42445,0.38897,0.14761,2.06878,1.85909,1.53427,0.007228,0.007228,0.007228
23,240.26,2.06604,1.68413,1.48232,0.3445,0.31354,0.25288,0.10033,2.24588,2.16917,1.65501,0.007096,0.007096,0.007096
24,250.035,2.05183,1.67782,1.47127,0.44118,0.44629,0.3987,0.14638,2.13397,2.08518,1.59321,0.006964,0.006964,0.006964
25,259.728,2.05795,1.71631,1.48975,0.4394,0.45932,0.41782,0.15256,2.09697,1.8306,1.532,0.006832,0.006832,0.006832
26,269.579,2.03604,1.65504,1.4596,0.40429,0.4917,0.37013,0.14573,2.04982,1.86853,1.53,0.0067,0.0067,0.0067
