epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7187,2.55356,4.02862,1.65112,0.23678,0.36419,0.20282,0.05581,2.45442,6.33895,1.48479,0.00044,0.00044,0.07844
2,22.9651,2.12747,1.89114,1.4276,0.24468,0.4786,0.25445,0.08029,2.37078,7.99867,1.68271,0.00089978,0.00089978,0.0558998
3,33.1702,2.07867,1.76875,1.40943,0.31163,0.29956,0.20822,0.072,2.24408,3.30791,1.6307,0.00135867,0.00135867,0.0333587
4,43.4102,2.11919,1.79988,1.3996,0.03781,0.50917,0.0297,0.01238,2.26432,inf,1.66427,0.001816,0.001816,0.010816
5,53.5717,2.08392,1.78061,1.41173,0.02254,0.3738,0.01557,0.00629,2.28077,18.2164,1.58085,0.00199219,0.00199219,0.00199219
6,63.2513,2.01857,1.71178,1.37151,0.29807,0.28472,0.20447,0.06897,2.18254,3.57301,1.53141,0.00198781,0.00198781,0.00198781
7,73.1019,2.00068,1.61415,1.36006,0.41834,0.36746,0.33768,0.11843,2.22736,2.05244,1.49419,0.00198246,0.00198246,0.00198246
8,83.0294,2.02084,1.64832,1.37927,0.4769,0.4559,0.42314,0.15544,2.19248,2.0204,1.56154,0.00197616,0.00197616,0.00197616
9,93.1333,1.99272,1.65406,1.36669,0.45807,0.57817,0.48064,0.19363,1.91524,2.85427,1.39448,0.0019689,0.0019689,0.0019689
10,102.83,2.00489,1.62887,1.35008,0.40872,0.46376,0.37443,0.14988,2.0254,1.83416,1.44224,0.00196069,0.00196069,0.00196069
11,112.396,1.98919,1.59436,1.32204,0.49638,0.45502,0.45182,0.18045,1.99302,1.84336,1.38551,0.00195155,0.00195155,0.00195155
12,122.015,1.97315,1.64357,1.36485,0.48335,0.48297,0.45498,0.17228,2.04937,1.80548,1.41216,0.00194147,0.00194147,0.00194147
13,131.454,1.96487,1.57277,1.33987,0.55664,0.52194,0.53091,0.22585,1.91443,1.60851,1.39946,0.00193048,0.00193048,0.00193048
14,141.158,1.94805,1.57274,1.34222,0.49319,0.50058,0.48892,0.20531,2.02311,1.75814,1.44286,0.00191858,0.00191858,0.00191858
15,151.486,1.95018,1.56706,1.32058,0.45343,0.52227,0.46204,0.18845,1.97321,1.66522,1.39239,0.00190578,0.00190578,0.00190578
16,161.666,1.91928,1.55389,1.32287,0.48762,0.48472,0.46283,0.1858,2.12419,1.63856,1.49742,0.0018921,0.0018921,0.0018921
17,171.968,1.92252,1.48065,1.30866,0.51426,0.47619,0.45635,0.1788,2.06631,1.73557,1.45357,0.00187754,0.00187754,0.00187754
18,182.908,1.91726,1.53046,1.34105,0.51742,0.52314,0.50771,0.20024,2.12332,1.61388,1.51088,0.00186213,0.00186213,0.00186213
19,193.931,1.91262,1.51584,1.33403,0.57535,0.54498,0.55898,0.22451,1.97259,1.56462,1.41047,0.00184588,0.00184588,0.00184588
20,204.008,1.92572,1.49594,1.3065,0.5501,0.55721,0.54651,0.23061,1.8829,1.63145,1.37496,0.00182881,0.00182881,0.00182881
21,214.444,1.87297,1.49632,1.29128,0.50157,0.53275,0.48237,0.20464,1.87288,1.55546,1.34092,0.00181093,0.00181093,0.00181093
22,224.89,1.90583,1.4885,1.30465,0.54953,0.53799,0.54452,0.21688,1.96098,1.55024,1.36997,0.00179225,0.00179225,0.00179225
23,234.905,1.97536,1.5072,1.35099,0.5351,0.45135,0.4858,0.19046,2.193,1.73187,1.56877,0.00177281,0.00177281,0.00177281
24,244.869,1.90312,1.52938,1.30834,0.51462,0.55459,0.52398,0.22802,1.87523,1.52677,1.35008,0.00175261,0.00175261,0.00175261
25,255.025,1.85982,1.48938,1.30188,0.57101,0.55721,0.56572,0.2526,1.86614,1.55078,1.35906,0.00173168,0.00173168,0.00173168
26,265.472,1.87321,1.46769,1.30231,0.59232,0.60961,0.59829,0.2617,1.8479,1.49292,1.35796,0.00171004,0.00171004,0.00171004
27,274.918,1.86565,1.47226,1.29661,0.56948,0.55022,0.55456,0.2354,1.9918,1.57794,1.42988,0.0016877,0.0016877,0.0016877
28,284.579,1.87409,1.4255,1.28548,0.51796,0.46812,0.47653,0.20118,2.09117,1.69795,1.46015,0.0016647,0.0016647,0.0016647
29,294.292,1.84483,1.4553,1.2764,0.56375,0.54285,0.53854,0.22251,1.90344,1.6048,1.33869,0.00164105,0.00164105,0.00164105
30,304.435,1.84765,1.46869,1.29081,0.62828,0.5476,0.59688,0.24358,1.93624,1.49469,1.36612,0.00161678,0.00161678,0.00161678
31,314.296,1.83883,1.39331,1.27879,0.61462,0.61223,0.62973,0.26701,1.87312,1.44658,1.34932,0.00159191,0.00159191,0.00159191
32,324.891,1.84763,1.41394,1.27288,0.55873,0.5738,0.58554,0.25234,1.87236,1.49976,1.35561,0.00156646,0.00156646,0.00156646
33,335.349,1.82347,1.39867,1.25098,0.59812,0.58623,0.62173,0.27217,1.84038,1.44091,1.31948,0.00154047,0.00154047,0.00154047
34,345.697,1.85053,1.41464,1.27111,0.57594,0.51965,0.55328,0.2307,1.86343,1.50686,1.32385,0.00151395,0.00151395,0.00151395
35,356.068,1.83533,1.37973,1.26287,0.57147,0.51441,0.55369,0.23317,1.94617,1.52453,1.39449,0.00148694,0.00148694,0.00148694
36,366.456,1.81436,1.40608,1.25656,0.6195,0.59295,0.61447,0.26478,1.87036,1.42641,1.36539,0.00145945,0.00145945,0.00145945
37,376.801,1.80383,1.38896,1.25779,0.60845,0.58253,0.61641,0.2673,1.84638,1.44366,1.32773,0.00143152,0.00143152,0.00143152
38,386.797,1.80193,1.33734,1.25227,0.62023,0.62358,0.64362,0.28845,1.79893,1.37763,1.30046,0.00140318,0.00140318,0.00140318
39,396.977,1.782,1.36543,1.25085,0.62808,0.60322,0.62633,0.27275,1.88183,1.41721,1.36449,0.00137444,0.00137444,0.00137444
40,407.249,1.77562,1.36286,1.26835,0.60152,0.55633,0.59361,0.25844,1.86958,1.48377,1.34052,0.00134535,0.00134535,0.00134535
41,416.621,1.77167,1.33301,1.24759,0.56027,0.58087,0.56464,0.24648,1.8963,1.48087,1.36913,0.00131593,0.00131593,0.00131593
42,426.2,1.80008,1.37376,1.26207,0.58083,0.59214,0.59894,0.26117,1.8574,1.433,1.33228,0.0012862,0.0012862,0.0012862
43,436.162,1.80724,1.37417,1.25957,0.51739,0.48122,0.47652,0.1754,1.98113,1.63929,1.38639,0.0012562,0.0012562,0.0012562
44,446.137,1.77065,1.33813,1.24355,0.61731,0.58183,0.61724,0.27331,1.88249,1.41497,1.36283,0.00122596,0.00122596,0.00122596
45,456.111,1.78498,1.32705,1.26551,0.6198,0.57519,0.6051,0.26773,1.91544,1.48554,1.38459,0.00119551,0.00119551,0.00119551
46,466.039,1.76915,1.32281,1.23247,0.57579,0.56901,0.57622,0.25261,1.92245,1.48896,1.38034,0.00116487,0.00116487,0.00116487
47,475.886,1.76462,1.29412,1.24957,0.63075,0.58515,0.62123,0.27529,1.81782,1.39538,1.34116,0.00113408,0.00113408,0.00113408
48,485.784,1.76068,1.34076,1.27537,0.60893,0.60515,0.61616,0.27031,1.83989,1.39346,1.33498,0.00110317,0.00110317,0.00110317
49,495.53,1.75897,1.3113,1.24604,0.60749,0.63057,0.62905,0.27736,1.82371,1.3856,1.33235,0.00107216,0.00107216,0.00107216
