original_filename,class,status,reason,duplicate_cluster,blur_score,quality_label,final_split
levle0_10.jpg,Level 0,REJECTED,Severe blur (variance 3.32 < 20),1,3.32,reject,N/A
levle1_374.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,810.03,duplicate,N/A
levle2_111.jpg,Level 2,REMOVED,Duplicate of levle0_280.jpg,1324,750.00,duplicate,N/A
levle0_512.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,741.45,duplicate,N/A
levle2_109.jpg,Level 2,REMOVED,Duplicate of levle0_280.jpg,1324,728.70,duplicate,N/A
levle0_528.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,699.22,duplicate,N/A
levle0_145.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,673.23,duplicate,N/A
levle2_33.jpg,Level 2,REMOVED,Duplicate of levle0_280.jpg,1324,662.77,duplicate,N/A
levle0_189.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,608.04,duplicate,N/A
levle2_160.jpg,Level 2,REMOVED,Duplicate of levle0_280.jpg,1324,586.84,duplicate,N/A
levle1_251.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,578.98,duplicate,N/A
levle1_200.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,573.34,duplicate,N/A
levle1_597.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,570.51,duplicate,N/A
levle1_132.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,560.99,duplicate,N/A
levle1_485.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,560.99,duplicate,N/A
levle1_427.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,541.76,duplicate,N/A
levle0_188.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,533.80,duplicate,N/A
levle0_236.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,529.13,duplicate,N/A
levle1_171.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,528.62,duplicate,N/A
levle2_118.jpg,Level 2,REMOVED,Duplicate of levle0_280.jpg,1324,527.33,duplicate,N/A
levle0_36.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,526.47,duplicate,N/A
levle0_260.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,516.39,duplicate,N/A
levle2_183.jpg,Level 2,REMOVED,Duplicate of levle0_280.jpg,1324,515.76,duplicate,N/A
levle1_402.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,510.31,duplicate,N/A
levle0_111.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,509.28,duplicate,N/A
levle0_34.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,501.77,duplicate,N/A
levle1_457.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,491.46,duplicate,N/A
levle0_243.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,489.12,duplicate,N/A
levle2_172.jpg,Level 2,REMOVED,Duplicate of levle0_280.jpg,1324,486.11,duplicate,N/A
levle1_566.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,482.42,duplicate,N/A
levle1_145.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,478.28,duplicate,N/A
levle1_281.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,478.28,duplicate,N/A
levle0_103.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,474.07,duplicate,N/A
levle0_476.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,472.98,duplicate,N/A
levle2_175.jpg,Level 2,REMOVED,Duplicate of levle0_280.jpg,1324,470.25,duplicate,N/A
levle1_440.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,469.22,duplicate,N/A
levle2_119.jpg,Level 2,REMOVED,Duplicate of levle0_280.jpg,1324,468.97,duplicate,N/A
levle1_565.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,464.27,duplicate,N/A
levle0_336.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,462.21,duplicate,N/A
levle1_202.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,461.94,duplicate,N/A
levle0_267.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,458.39,duplicate,N/A
levle1_446.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,457.18,duplicate,N/A
levle1_447.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,452.49,duplicate,N/A
levle2_107.jpg,Level 2,REMOVED,Duplicate of levle0_280.jpg,1324,451.27,duplicate,N/A
levle1_407.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,447.91,duplicate,N/A
levle1_249.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,444.05,duplicate,N/A
levle1_539.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,442.50,duplicate,N/A
levle0_292.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,439.97,duplicate,N/A
levle1_189.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,432.13,duplicate,N/A
levle1_58.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,428.40,duplicate,N/A
levle1_614.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,426.42,duplicate,N/A
levle0_144.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,426.16,duplicate,N/A
levle1_466.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,425.71,duplicate,N/A
levle1_519.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,424.42,duplicate,N/A
levle0_354.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,422.01,duplicate,N/A
levle0_484.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,419.19,duplicate,N/A
levle0_417.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,415.67,duplicate,N/A
levle0_399.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,415.21,duplicate,N/A
levle1_441.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,414.49,duplicate,N/A
levle1_625.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,413.92,duplicate,N/A
levle0_217.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,410.91,duplicate,N/A
levle0_415.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,409.54,duplicate,N/A
levle0_385.jpg,Level 0,REMOVED,Duplicate of levle0_280.jpg,1324,402.18,duplicate,N/A
levle2_117.jpg,Level 2,REMOVED,Duplicate of levle0_280.jpg,1324,401.62,duplicate,N/A
levle1_433.jpg,Level 1,REMOVED,Duplicate of levle0_280.jpg,1324,400.43,duplicate,N/A
