original_filename,status,reason,duplicate_cluster,blur_score,final_split
acne-101_jpeg.rf.dd5c14cef0a2ba13b110f05a520f00c0.jpg,REMOVED,Perceptual duplicate of acne-101_jpeg.rf.af45ba09bf2981ed7cc4af94b54aae48.jpg,2,145.66,N/A
acne-104_jpeg.rf.5b7dbce5a05426ce03d20ea30f8614ad.jpg,REMOVED,Perceptual duplicate of acne-104_jpeg.rf.049f40b91f49dd3554b929ab004aa10e.jpg,4,19.84,N/A
acne-104_jpeg.rf.049f40b91f49dd3554b929ab004aa10e.jpg,REJECTED,Extremely blurry (variance 19.96 < 20),4,19.96,N/A
acne-106_jpeg.rf.078f5194805c1882a8e63cea008410a7.jpg,REMOVED,Perceptual duplicate of acne-106_jpeg.rf.8ed823543e5ad3b616c3286f7bec0fb5.jpg,8,17.50,N/A
acne-106_jpeg.rf.fe8d695cc950d5cfd33cd1d0aee4730e.jpg,REMOVED,Perceptual duplicate of acne-106_jpeg.rf.8ed823543e5ad3b616c3286f7bec0fb5.jpg,8,17.37,N/A
acne-106_jpeg.rf.8ed823543e5ad3b616c3286f7bec0fb5.jpg,REJECTED,Extremely blurry (variance 17.51 < 20),8,17.51,N/A
acne-107_jpeg.rf.fe9873a17fa31389536ca33faca813c4.jpg,REJECTED,Extremely blurry (variance 14.52 < 20),11,14.52,N/A
acne-109_jpeg.rf.71c01ec227c54f3d2134264c523a5c38.jpg,REMOVED,Perceptual duplicate of acne-278_jpeg.rf.3e21ea9cfde6b63b9819b6ba5f5ff54f.jpg,329,76.80,N/A
acne-278_jpeg.rf.5cd572723b9c01814a9f32f79bb16fde.jpg,REMOVED,Perceptual duplicate of acne-278_jpeg.rf.3e21ea9cfde6b63b9819b6ba5f5ff54f.jpg,329,76.76,N/A
acne-109_jpeg.rf.09c25c7027db07e930a3501960cafbc4.jpg,REMOVED,Perceptual duplicate of acne-278_jpeg.rf.3e21ea9cfde6b63b9819b6ba5f5ff54f.jpg,329,74.24,N/A
acne-278_jpeg.rf.4204e0cf965d42b30ed06382b7499776.jpg,REMOVED,Perceptual duplicate of acne-109_jpeg.rf.f1dfe70192f63b0f7f3c60c34f989502.jpg,328,328.02,N/A
acne-10_jpeg.rf.a47703e8c466062380bdd7cda41fae2b.jpg,REMOVED,Perceptual duplicate of acne-10_jpeg.rf.f27748da2520545eba9ebcd7e0dc6482.jpg,17,33.73,N/A
acne-110_jpeg.rf.ac46f2b20c3b01cd908ca6e33f7c8b0a.jpg,REMOVED,Perceptual duplicate of acne-110_jpeg.rf.b2e331d513bdc74cab2a514eb157444c.jpg,20,52.19,N/A
acne-111_jpeg.rf.5898ddc66916835400974fe91faa2127.jpg,REMOVED,Perceptual duplicate of acne-111_jpeg.rf.d2f96fc4bb37d79f182ff62b6c21203f.jpg,23,25.17,N/A
acne-114_jpeg.rf.faab857cd0fe501cd0ee008b2d5e5d8d.jpg,REMOVED,Perceptual duplicate of acne-114_jpeg.rf.05500969621c6ec1a2720c8113a7f730.jpg,26,20.26,N/A
acne-117_jpeg.rf.5fca45225c32ea524aa8635eeaca17da.jpg,REMOVED,Perceptual duplicate of acne-307_jpeg.rf.94c2dc3718bb5ad2581945c0fffcaa57.jpg,407,6.91,N/A
acne-117_jpeg.rf.86e15ada642e029c7a3adf6e3abd3165.jpg,REMOVED,Perceptual duplicate of acne-307_jpeg.rf.94c2dc3718bb5ad2581945c0fffcaa57.jpg,407,6.85,N/A
acne-307_jpeg.rf.ff4ac1e7b5ce5f6e0352711dfa73d20e.jpg,REMOVED,Perceptual duplicate of acne-307_jpeg.rf.94c2dc3718bb5ad2581945c0fffcaa57.jpg,407,6.85,N/A
acne-307_jpeg.rf.94c2dc3718bb5ad2581945c0fffcaa57.jpg,REJECTED,Extremely blurry (variance 6.94 < 20),407,6.94,N/A
acne-117_jpeg.rf.fdd8632240a042f20703a454d7ca8c49.jpg,REMOVED,Perceptual duplicate of acne-307_jpeg.rf.5297a008770db29598632a05048eba2b.jpg,405,45.54,N/A
acne-118_jpg.rf.a950e2e85bfac5233bc29a1409733d67.jpg,REMOVED,Perceptual duplicate of acne-118_jpg.rf.5ac494ffe6003d136d78802a2e018b93.jpg,32,400.11,N/A
