original_filename,class,status,reason,duplicate_cluster,blur_score,quality_label,final_split
blackhead-1-_JPG_jpg.rf.2aa7ed5c2e1e63b4e95713765fa303e2.jpg,Blackheads,REMOVED,Duplicate of blackhead-1-_JPG_jpg.rf.bb049c88b1e1d84cce3b7f39bbfd6f74.jpg,2778,25.42,duplicate,N/A
blackhead-1-_JPG_jpg.rf.bb049c88b1e1d84cce3b7f39bbfd6f74.jpg,Blackheads,REJECTED,Cosmetic beauty filter / smoothed skin (blur score 25.44 < 30),2778,25.44,reject,N/A
blackhead-1-_JPG_jpg.rf.d7b8a53aebb5da67b8acd0f8498ae9a3.jpg,Blackheads,REMOVED,Duplicate of blackhead-1-_JPG_jpg.rf.a96a922a9246d8ef9cafc0b527dccb50.jpg,3699,32.35,duplicate,N/A
blackhead-10-_JPG_jpg.rf.678b6f308a9a473f5ad6487e08d2527f.jpg,Blackheads,REMOVED,Duplicate of blackhead-10-_JPG_jpg.rf.6c7612c21a4d29a06438982023a3c718.jpg,3,50.73,duplicate,N/A
blackhead-11-_JPG_jpg.rf.d302cb31607575bddb937676e5b0899a.jpg,Blackheads,REMOVED,Duplicate of blackhead-11-_JPG_jpg.rf.bf12d40e02729d522ca9877f724ad130.jpg,8,10.83,duplicate,N/A
blackhead-11-_JPG_jpg.rf.bf12d40e02729d522ca9877f724ad130.jpg,Blackheads,REJECTED,Severe blur (variance 10.83 < 20),8,10.83,reject,N/A
blackhead-12-_jpg.rf.239446c16113bf530316d8e6e044eb2a.jpg,Blackheads,REMOVED,Duplicate of blackhead-12-_jpg.rf.7a59f724e34e7fa29d7a557f41c2f4ec.jpg,3703,44.97,duplicate,N/A
blackhead-12-_jpg.rf.6eaa1da538bd3a2d2731fec966328542.jpg,Blackheads,REMOVED,Duplicate of blackhead-12-_jpg.rf.a274e47e7dcb650d7b531326d81463c9.jpg,3704,38.26,duplicate,N/A
blackhead-12-_jpg.rf.3855ad2810048c1bda85e7a5dfaceb37.jpg,Blackheads,REMOVED,Duplicate of blackhead-12-_jpg.rf.a274e47e7dcb650d7b531326d81463c9.jpg,3704,15.39,duplicate,N/A
blackhead-12-_jpg.rf.afc9bbd660c4655f0ecf45bb1144bd4b.jpg,Blackheads,REMOVED,Duplicate of blackhead-12-_jpg.rf.a274e47e7dcb650d7b531326d81463c9.jpg,3704,15.39,duplicate,N/A
blackhead-13-_JPG_jpg.rf.073ba547829eda57ec8888f7c149b89d.jpg,Blackheads,REMOVED,Duplicate of blackhead-13-_JPG_jpg.rf.f74c36cf110ca2ec1f4a5eacdbddace6.jpg,3707,66.46,duplicate,N/A
blackhead-13-_JPG_jpg.rf.2a0aef37b5d8616d8381d8eeeacac885.jpg,Blackheads,REMOVED,Duplicate of blackhead-13-_JPG_jpg.rf.fbe7d7cfa24bda57ef534185a3e061ab.jpg,2782,35.24,duplicate,N/A
blackhead-13-_JPG_jpg.rf.70db7d603887d91a8fff2e3d4a110c99.jpg,Blackheads,REMOVED,Duplicate of blackhead-13-_JPG_jpg.rf.338da601b0663befae36595f410a577e.jpg,17,17.52,duplicate,N/A
blackhead-13-_JPG_jpg.rf.338da601b0663befae36595f410a577e.jpg,Blackheads,REJECTED,Severe blur (variance 17.52 < 20),17,17.52,reject,N/A
blackhead-13-_JPG_jpg.rf.e8bbd2ae1be3e68aa4b6d56622bfa026.jpg,Blackheads,REMOVED,Duplicate of blackhead-13-_JPG_jpg.rf.fc341da51313b3bd41f7f6b38a0c57ba.jpg,3706,48.59,duplicate,N/A
blackhead-15-_jpg.rf.1f0742a672e83d946126cb2c8374767b.jpg,Blackheads,REMOVED,Duplicate of blackhead-15-_jpg.rf.73d12d3612f9eefebb418bc81f535f95.jpg,23,63.04,duplicate,N/A
blackhead-15-_jpg.rf.8c0aca07f60b59df1c45b73af609f4dc.jpg,Blackheads,REMOVED,Duplicate of blackhead-15-_jpg.rf.0293ec555e89b071cd8b14a79a911e32.jpg,2783,8.22,duplicate,N/A
blackhead-15-_jpg.rf.0293ec555e89b071cd8b14a79a911e32.jpg,Blackheads,REJECTED,Severe blur (variance 8.22 < 20),2783,8.22,reject,N/A
blackhead-16-_jpg.rf.51dc5357829ddc6852ef0e8ce2081844.jpg,Blackheads,REMOVED,Duplicate of blackhead-16-_jpg.rf.5ee266d389a36c84fcc8755a9cd94c34.jpg,2786,20.35,duplicate,N/A
blackhead-16-_jpg.rf.5ee266d389a36c84fcc8755a9cd94c34.jpg,Blackheads,REJECTED,Cosmetic beauty filter / smoothed skin (blur score 20.35 < 30),2786,20.35,reject,N/A
blackhead-17-_JPG_jpg.rf.61e1104df63c09286d86542c72661d6e.jpg,Blackheads,REMOVED,Duplicate of blackhead-17-_JPG_jpg.rf.89c6b0427d03f6b2011f609abc93c935.jpg,31,37.51,duplicate,N/A
blackhead-17-_JPG_jpg.rf.e90803dd1ee6f77d6b2624a074524f9b.jpg,Blackheads,REMOVED,Duplicate of blackhead-17-_JPG_jpg.rf.7820102b7d36d9983e98e149af125e2a.jpg,3710,35.22,duplicate,N/A
blackhead-18-_jpg.rf.1a8394cf9ec681328deda423e03ded42.jpg,Blackheads,REMOVED,Duplicate of blackhead-18-_jpg.rf.03698e34ece78f5828db5becaddb37e3.jpg,33,71.21,duplicate,N/A
blackhead-18-_jpg.rf.7373537c80e5c1eae1653478e58495d7.jpg,Blackheads,REMOVED,Duplicate of blackhead-18-_jpg.rf.8b447ebd350b0f538d64ff01db2bd3b6.jpg,3712,41.12,duplicate,N/A
blackhead-18-_jpg.rf.aae2f9a9ce8b3d53323d0f1893ad8933.jpg,Blackheads,REMOVED,Duplicate of blackhead-18-_jpg.rf.8b447ebd350b0f538d64ff01db2bd3b6.jpg,3712,39.47,duplicate,N/A
blackhead-18-_jpg.rf.6936f4d16ee916df3b69f658c7dd8ebb.jpg,Blackheads,REMOVED,Duplicate of blackhead-18-_jpg.rf.8b447ebd350b0f538d64ff01db2bd3b6.jpg,3712,39.47,duplicate,N/A
blackhead-19-_jpg.rf.954a5a9302a823457a2a15383f384dff.jpg,Blackheads,REMOVED,Duplicate of blackhead-19-_jpg.rf.faf4d7c32e8650e181c9a10d548ea0db.jpg,3715,27.89,duplicate,N/A
blackhead-19-_jpg.rf.faf4d7c32e8650e181c9a10d548ea0db.jpg,Blackheads,REJECTED,Cosmetic beauty filter / smoothed skin (blur score 28.02 < 30),3715,28.02,reject,N/A
blackhead-2-_jpg.rf.0edc8261a0fc5e92854fb836b6600d16.jpg,Blackheads,REMOVED,Duplicate of blackhead-2-_jpg.rf.dc6304af67b4a7f187613e4e3a4db547.jpg,46,53.97,duplicate,N/A
blackhead-2-_jpg.rf.d8fcbcea5517472e3ef93e46b70a512c.jpg,Blackheads,REMOVED,Duplicate of blackhead-2-_jpg.rf.8d15602527dcbe97a62bbd8165628b44.jpg,2792,9.47,duplicate,N/A
blackhead-2-_jpg.rf.8d15602527dcbe97a62bbd8165628b44.jpg,Blackheads,REJECTED,Severe blur (variance 9.47 < 20),2792,9.47,reject,N/A
blackhead-2-_jpg.rf.38a10ca8dec714d51806467cdb900b75.jpg,Blackheads,REMOVED,Duplicate of blackhead-2-_jpg.rf.c08cb5e630e9ad6b4dc3f62476950e74.jpg,3716,44.01,duplicate,N/A
blackhead-56-_jpg.rf.4a1b270ce75638a2a394f9f7ec5cb507.jpg,Blackheads,REMOVED,Duplicate of blackhead-56-_jpg.rf.f505587840fd29a87ca3f699cae34abc.jpg,2845,39.94,duplicate,N/A
blackhead-56-_jpg.rf.d0e0fcb483f4c8f4d0fa8ccc6c6240e7.jpg,Blackheads,REMOVED,Duplicate of blackhead-56-_jpg.rf.f505587840fd29a87ca3f699cae34abc.jpg,2845,13.01,duplicate,N/A
blackhead-56-_jpg.rf.c6665d1501f47a7fdfac3a7454889aa8.jpg,Blackheads,REMOVED,Duplicate of blackhead-56-_jpg.rf.f505587840fd29a87ca3f699cae34abc.jpg,2845,13.00,duplicate,N/A
blackhead-20-_jpg.rf.46c397625c47fb774e822f3b01eb5505.jpg,Blackheads,REMOVED,Duplicate of blackhead-56-_jpg.rf.f505587840fd29a87ca3f699cae34abc.jpg,2845,12.01,duplicate,N/A
blackhead-20-_jpg.rf.86113d5388644af936238e02768c9af2.jpg,Blackheads,REMOVED,Duplicate of blackhead-56-_jpg.rf.f505587840fd29a87ca3f699cae34abc.jpg,2845,12.01,duplicate,N/A
blackhead-21-_jpg.rf.5fcf54f27f4b14df0f498ad030a8e89a.jpg,Blackheads,REMOVED,Duplicate of blackhead-21-_jpg.rf.768898c2e5c02a5a73e4083fece23d83.jpg,51,42.29,duplicate,N/A
blackhead-22-_jpg.rf.ff9cc2cd27a2e97ca434d8f5c3466c90.jpg,Blackheads,REMOVED,Duplicate of blackhead-22-_jpg.rf.2d8128f8d29964086456794b7aaa012b.jpg,2793,10.43,duplicate,N/A
blackhead-22-_jpg.rf.2d8128f8d29964086456794b7aaa012b.jpg,Blackheads,REJECTED,Severe blur (variance 10.43 < 20),2793,10.43,reject,N/A
blackhead-23-_jpg.rf.70f8d9bf5320cadb59b0ea019a1b060f.jpg,Blackheads,REMOVED,Duplicate of blackhead-23-_jpg.rf.d66d971fbfe90791a5a7298232dfd1e1.jpg,3720,56.49,duplicate,N/A
blackhead-23-_jpg.rf.7108077f253a523452aeba399d9b8d3f.jpg,Blackheads,REMOVED,Duplicate of blackhead-23-_jpg.rf.d66d971fbfe90791a5a7298232dfd1e1.jpg,3720,15.54,duplicate,N/A
blackhead-23-_jpg.rf.be346517a521244e3fadcf6aea3c5766.jpg,Blackheads,REMOVED,Duplicate of blackhead-23-_jpg.rf.d66d971fbfe90791a5a7298232dfd1e1.jpg,3720,15.54,duplicate,N/A
blackhead-24-_jpg.rf.b4d43e45691ec88bcbfa0e775f7a065b.jpg,Blackheads,REMOVED,Duplicate of blackhead-24-_jpg.rf.fc1972b4fcbb98485bec759c7828f510.jpg,61,36.72,duplicate,N/A
blackhead-24-_jpg.rf.75bbf8986d6d2c80266919c04fcc5b6b.jpg,Blackheads,REMOVED,Duplicate of blackhead-24-_jpg.rf.f2956631c5c83653d4bb16e7d32732a9.jpg,2795,20.71,duplicate,N/A
blackhead-24-_jpg.rf.f2956631c5c83653d4bb16e7d32732a9.jpg,Blackheads,REJECTED,Cosmetic beauty filter / smoothed skin (blur score 20.71 < 30),2795,20.71,reject,N/A
blackhead-25-_jpg.rf.d6ab24a8b626c59c2121016fa82789cd.jpg,Blackheads,REMOVED,Duplicate of blackhead-25-_jpg.rf.2ddf9e0f83b5a92c87d4bd36a5e6cc9e.jpg,67,87.30,duplicate,N/A
blackhead-25-_jpg.rf.49ef589caa53bcd40c4de8b84c8ead87.jpg,Blackheads,REMOVED,Duplicate of blackhead-25-_jpg.rf.8690d60a4b16953acf00773e5564684b.jpg,65,86.62,duplicate,N/A
blackhead-25-_jpg.rf.f6c1c90ede9964ed619c1c7376b67a14.jpg,Blackheads,REMOVED,Duplicate of blackhead-25-_jpg.rf.a8e756bd94fb32a1f95fa64a64ebf764.jpg,3728,48.91,duplicate,N/A
