image_id,source_dataset,dataset_version,image_path,split,task_type,subtype_label,severity_label,annotation_type,skin_tone,body_region,clinical_quality,dermatologist_verified,duplicate_cluster,source_weight,confidence_source,primary_use,condition_family,notes
kurnaz_000001,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-101_jpeg.rf.af45ba09bf2981ed7cc4af94b54aae48.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 152.89.
kurnaz_000002,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-101_jpeg.rf.d13d618fff02c3133aac95c6b0c7b5fb.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,borderline,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 35.41.
kurnaz_000003,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-102_jpeg.rf.d15b34dc9a1e69aa996118a4c1a173ef.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,usable,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 142.24.
kurnaz_000004,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-104_jpeg.rf.854a06c90fd544c3418d6931d1a5c92b.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 156.37.
kurnaz_000005,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-107_jpeg.rf.9a0d1f16966910fc2d1351f8c218e971.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,usable,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 133.74.
kurnaz_000006,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-109_jpeg.rf.f1dfe70192f63b0f7f3c60c34f989502.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 350.89.
kurnaz_000007,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-10_jpeg.rf.1a5742dc70d2abc4799e0ce84795741b.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 378.24.
kurnaz_000008,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-10_jpeg.rf.f27748da2520545eba9ebcd7e0dc6482.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,borderline,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 34.12.
kurnaz_000009,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-110_jpeg.rf.30388309b832a1dbcd9f74e88a6d80c7.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,usable,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 102.68.
kurnaz_000010,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-110_jpeg.rf.b2e331d513bdc74cab2a514eb157444c.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,borderline,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 54.19.
kurnaz_000011,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-111_jpeg.rf.5305be8df8fc4bac0f9d4473e75ce446.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,borderline,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 25.39.
kurnaz_000012,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-111_jpeg.rf.d2f96fc4bb37d79f182ff62b6c21203f.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,borderline,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 25.96.
kurnaz_000013,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-113_jpeg.rf.61f34253768c2c2d90f282009cc85cc1.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,borderline,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 49.21.
kurnaz_000014,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-114_jpeg.rf.8886a0bfd6aae22e7a0d23fa689f93e0.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,usable,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 85.91.
kurnaz_000015,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-115_jpeg.rf.1c4b3100bd61c3be8b101094633f80e0.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,usable,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 62.36.
kurnaz_000016,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-118_jpg.rf.5ac494ffe6003d136d78802a2e018b93.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 405.35.
kurnaz_000017,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-120_jpg.rf.05d2df98b09a59455e77d06fb330a261.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 285.62.
kurnaz_000018,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-120_jpg.rf.59864fcc325d7c476b1d4276551aa0dd.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 600.63.
kurnaz_000019,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-120_jpg.rf.83c70d65304fb3bac6fe6e3451d957e7.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 486.63.
kurnaz_000020,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-122_jpg.rf.457449f3ea61b059c8755a833cba36e4.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 305.42.
kurnaz_000021,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-125_jpg.rf.2612211b3bedfab30f3c1917dba2de98.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,usable,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 125.13.
kurnaz_000022,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-125_jpg.rf.dc9c441370bb9fdb7c992c7e422c8003.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,usable,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 80.18.
kurnaz_000023,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-126_jpg.rf.5b0e9e4d04ae70075efeaee8971a48aa.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 340.11.
kurnaz_000024,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-126_jpg.rf.efe7936850eb9c5f1327b1a589d5ed43.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 370.62.
kurnaz_000025,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-127_jpg.rf.f448d7470b4d04d0576302eefabed949.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 612.5.
kurnaz_000026,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-12_jpeg.rf.28444ad5ce2ac27bc0ce6ed17f8e6ec0.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,borderline,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 29.05.
kurnaz_000027,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-131_jpg.rf.116f58db510524f94237b01e37f3a16f.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,usable,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 127.53.
kurnaz_000028,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-133_jpg.rf.6db7d5e9aba6f4de4253e2100ab6ffbc.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 441.91.
kurnaz_000029,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-133_jpg.rf.d5a2596cbb19ae009ce2659b3104dba1.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 522.42.
kurnaz_000030,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-135_jpg.rf.042025713da3de0b88f75367822f27a0.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 641.58.
kurnaz_000031,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-136_jpg.rf.3e73b4689794a339be8e23f11d08fc37.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 434.7.
kurnaz_000032,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-13_jpeg.rf.6bccdd195b2e284d78717dccf8333266.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,borderline,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 30.56.
kurnaz_000033,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-13_jpeg.rf.a5f9a647b82ba14238855de41ce76a2f.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,borderline,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 31.81.
kurnaz_000034,kurnaz,cleaned_v1,datasets/skin/acne/cleaned/kurnaz_yolov8_cleaned_v1/train/images/acne-141_jpg.rf.056aa3399307f077aa37f49ff94c27f4.jpg,train,detection,unknown,unknown,bounding_box,unknown,unknown,sharp,false,none,1.1,non_expert,lesion_detection,acne,Cleaned object detection image. Blur score: 275.16.
