Confidence Threshold,IoU Threshold,Precision,Recall,mAP50,mAP50-95,F1,Rank
0.25,0.6,0.6856602188768552,0.6497816593886463,0.6827231235704729,0.0,0.6672389746789249,1
0.3,0.5,0.7098646034816247,0.6410480349344978,0.6835194778754479,0.0,0.6737035337310693,2
0.3,0.55,0.7050912584053795,0.6410480349344978,0.6824667330146008,0.0,0.6715462031107045,3
0.3,0.6,0.7022900763358778,0.6427947598253275,0.6819526791242969,0.0,0.6712266301869585,4
0.001,0.5,0.6953519298406527,0.6480349344978166,0.7070757807998813,0.31777085788051707,0.670860128633333,5
0.1,0.5,0.6953519298406527,0.6480349344978166,0.7068912015568317,0.0,0.670860128633333,6
0.25,0.5,0.6936646527866316,0.6489082969432315,0.6842956671393263,0.0,0.6705404701920442,7
0.001,0.55,0.689536251187809,0.6480349344978166,0.706718154281463,0.3184155942507433,0.6681417544791296,8
0.25,0.55,0.689536251187809,0.6480349344978166,0.6835049400674127,0.0,0.6681417544791296,9
0.1,0.55,0.689536251187809,0.6480349344978166,0.7051306155290057,0.0,0.6681417544791296,10
0.001,0.65,0.6955936274387414,0.6426171773753266,0.699404012861595,0.3174038087017413,0.6680567992081863,11
0.1,0.65,0.6955936274387414,0.6426171773753266,0.6982164484546428,0.0,0.6680567992081863,12
0.001,0.6,0.6874980827460755,0.6480349344978166,0.7047106606732942,0.3177801045357515,0.6671834679746703,13
0.1,0.6,0.6874980827460755,0.6480349344978166,0.7029284278493296,0.0,0.6671834679746703,14
0.15,0.6,0.6874980827460755,0.6480349344978166,0.6989101403473406,0.0,0.6671834679746703,15
0.2,0.6,0.6874980827460755,0.6480349344978166,0.6915726991227572,0.0,0.6671834679746703,16
0.001,0.7,0.6882785979149553,0.6402215221414994,0.6935559539604026,0.3173496292961595,0.6633808532825789,17
0.25,0.65,0.6955936274387414,0.6426171773753266,0.6783158882867153,0.0,0.6680567992081863,18
0.3,0.65,0.6939736346516008,0.6436681222707423,0.6784081200542993,0.0,0.6678749433620299,19
0.35,0.6,0.7420765027322405,0.5930131004366812,0.6715092422373509,0.0,0.6592233009708738,20
0.4,0.6,0.7768079800498753,0.5441048034934498,0.6605908597403553,0.0,0.6399589111453517,21
