image,split,resolution,blur_score,brightness,lesion_density,quality_score,issues
kurnaz_000365.jpg,valid,640x640,280.12,178.1,21,Good,None
kurnaz_000366.jpg,valid,640x640,459.71,139.89,17,Good,None
kurnaz_000367.jpg,valid,640x640,213.95,158.12,31,Good,None
kurnaz_000368.jpg,valid,640x640,702.11,173.87,8,Excellent,None
kurnaz_000369.jpg,valid,640x640,250.38,155.54,9,Good,None
kurnaz_000370.jpg,valid,640x640,202.42,206.0,29,Good,None
kurnaz_000371.jpg,valid,640x640,725.51,132.5,17,Excellent,None
kurnaz_000372.jpg,valid,640x640,297.32,150.61,3,Good,None
kurnaz_000373.jpg,valid,640x640,409.55,211.17,14,Good,None
kurnaz_000374.jpg,valid,640x640,100.6,160.64,9,Good,None
kurnaz_000375.jpg,valid,640x640,22.08,217.21,11,Poor,Severe Blur
kurnaz_000376.jpg,valid,640x640,114.07,159.11,7,Good,None
kurnaz_000377.jpg,valid,640x640,482.35,196.55,10,Good,None
kurnaz_000378.jpg,valid,640x640,223.97,191.36,13,Good,None
kurnaz_000379.jpg,valid,640x640,549.27,199.28,5,Excellent,None
kurnaz_000380.jpg,valid,640x640,468.59,168.13,13,Good,None
kurnaz_000381.jpg,valid,640x640,486.53,142.6,30,Good,None
kurnaz_000382.jpg,valid,640x640,64.9,116.37,20,Questionable,Moderate Blur
kurnaz_000383.jpg,valid,640x640,408.26,177.62,20,Good,None
kurnaz_000384.jpg,valid,640x640,37.68,185.6,24,Questionable,Moderate Blur
kurnaz_000385.jpg,valid,640x640,248.43,120.48,21,Good,None
kurnaz_000386.jpg,valid,640x640,279.43,127.22,21,Good,None
kurnaz_000387.jpg,valid,640x640,41.31,162.81,11,Questionable,Moderate Blur
kurnaz_000388.jpg,valid,640x640,175.33,156.34,26,Good,None
kurnaz_000389.jpg,valid,640x640,337.49,178.63,52,Good,None
kurnaz_000390.jpg,valid,640x640,635.91,178.13,38,Excellent,None
kurnaz_000391.jpg,valid,640x640,700.78,119.61,31,Excellent,None
kurnaz_000392.jpg,valid,640x640,274.35,197.96,15,Good,None
kurnaz_000393.jpg,valid,640x640,136.52,205.0,30,Good,None
kurnaz_000394.jpg,valid,640x640,235.7,202.15,30,Good,None
kurnaz_000395.jpg,valid,640x640,262.09,143.9,14,Good,None
kurnaz_000396.jpg,valid,640x640,21.74,198.28,2,Poor,Severe Blur
kurnaz_000397.jpg,valid,640x640,200.66,175.41,14,Good,None
kurnaz_000398.jpg,valid,640x640,57.02,147.98,4,Questionable,Moderate Blur
kurnaz_000399.jpg,valid,640x640,216.09,160.79,14,Good,None
kurnaz_000400.jpg,valid,640x640,62.8,152.05,6,Questionable,Moderate Blur
kurnaz_000401.jpg,valid,640x640,66.53,129.95,2,Questionable,Moderate Blur
kurnaz_000402.jpg,valid,640x640,81.65,196.88,15,Questionable,Moderate Blur
kurnaz_000403.jpg,valid,640x640,102.56,191.88,15,Good,None
kurnaz_000404.jpg,valid,640x640,25.48,227.86,25,Poor,Severe Blur | Extreme Glare/Overexposed
kurnaz_000405.jpg,valid,640x640,222.42,204.03,44,Good,None
kurnaz_000406.jpg,valid,640x640,224.23,223.06,17,Good,None
kurnaz_000407.jpg,valid,640x640,88.39,108.71,26,Questionable,Moderate Blur
kurnaz_000408.jpg,valid,640x640,97.87,179.59,9,Questionable,Moderate Blur
kurnaz_000409.jpg,valid,640x640,338.06,208.09,12,Good,None
kurnaz_000410.jpg,valid,640x640,144.56,134.02,5,Good,None
kurnaz_000411.jpg,valid,640x640,111.72,178.55,33,Good,None
kurnaz_000412.jpg,valid,640x640,33.25,209.56,4,Questionable,Moderate Blur
kurnaz_000413.jpg,valid,640x640,36.51,162.89,38,Questionable,Moderate Blur
kurnaz_000414.jpg,valid,640x640,308.55,113.02,7,Good,None
kurnaz_000415.jpg,valid,640x640,131.53,174.86,21,Good,None
kurnaz_000416.jpg,valid,640x640,33.63,199.89,34,Questionable,Moderate Blur
kurnaz_000417.jpg,valid,640x640,115.88,176.46,9,Good,None
kurnaz_000418.jpg,valid,640x640,112.37,131.86,24,Good,None
kurnaz_000419.jpg,valid,640x640,30.68,205.47,9,Questionable,Moderate Blur
kurnaz_000420.jpg,valid,640x640,50.73,111.3,6,Questionable,Moderate Blur
kurnaz_000421.jpg,valid,640x640,81.21,197.1,14,Questionable,Moderate Blur
kurnaz_000422.jpg,valid,640x640,34.35,126.08,7,Questionable,Moderate Blur
kurnaz_000423.jpg,valid,640x640,83.23,161.01,16,Questionable,Moderate Blur
kurnaz_000424.jpg,valid,640x640,109.41,163.99,17,Good,None
kurnaz_000425.jpg,valid,640x640,90.79,163.52,8,Questionable,Moderate Blur
kurnaz_000426.jpg,valid,640x640,121.53,198.69,26,Good,None
kurnaz_000427.jpg,valid,640x640,44.64,134.61,13,Questionable,Moderate Blur
kurnaz_000428.jpg,valid,640x640,95.44,189.39,4,Questionable,Moderate Blur
kurnaz_000429.jpg,valid,640x640,186.43,136.02,4,Good,None
kurnaz_000430.jpg,valid,640x640,24.81,139.22,4,Poor,Severe Blur
kurnaz_000431.jpg,valid,640x640,34.6,142.49,4,Questionable,Moderate Blur
kurnaz_000432.jpg,valid,640x640,22.9,117.0,17,Poor,Severe Blur
kurnaz_000433.jpg,valid,640x640,72.69,169.11,8,Questionable,Moderate Blur
kurnaz_000434.jpg,valid,640x640,30.92,149.54,30,Questionable,Moderate Blur
kurnaz_000435.jpg,valid,640x640,176.09,237.11,40,Poor,Extreme Glare/Overexposed
kurnaz_000436.jpg,valid,640x640,51.25,189.43,4,Questionable,Moderate Blur
kurnaz_000437.jpg,valid,640x640,25.2,177.4,4,Poor,Severe Blur
kurnaz_000438.jpg,valid,640x640,42.92,123.08,4,Questionable,Moderate Blur
kurnaz_000439.jpg,valid,640x640,217.02,209.63,6,Good,None
kurnaz_000440.jpg,valid,640x640,230.8,222.07,14,Good,None
kurnaz_000441.jpg,valid,640x640,26.19,173.37,5,Poor,Severe Blur
kurnaz_000442.jpg,valid,640x640,20.76,135.92,11,Poor,Severe Blur
kurnaz_000001.jpg,train,640x640,146.05,159.11,10,Good,None
kurnaz_000002.jpg,train,640x640,35.34,164.25,10,Questionable,Moderate Blur
kurnaz_000003.jpg,train,640x640,141.37,130.68,3,Good,None
kurnaz_000004.jpg,train,640x640,135.29,201.29,8,Good,None
kurnaz_000005.jpg,train,640x640,123.51,181.27,8,Good,None
kurnaz_000006.jpg,train,640x640,331.58,213.49,17,Good,None
kurnaz_000007.jpg,train,640x640,367.24,233.01,12,Poor,Extreme Glare/Overexposed
kurnaz_000008.jpg,train,640x640,34.04,226.87,12,Poor,Moderate Blur | Extreme Glare/Overexposed
kurnaz_000009.jpg,train,640x640,96.62,163.93,4,Questionable,Moderate Blur
kurnaz_000010.jpg,train,640x640,53.53,161.51,4,Questionable,Moderate Blur
kurnaz_000011.jpg,train,640x640,24.58,169.78,8,Poor,Severe Blur
kurnaz_000012.jpg,train,640x640,25.61,164.6,8,Poor,Severe Blur
kurnaz_000013.jpg,train,640x640,49.13,211.28,6,Questionable,Moderate Blur
kurnaz_000014.jpg,train,640x640,82.06,180.06,10,Questionable,Moderate Blur
kurnaz_000015.jpg,train,640x640,62.2,188.99,6,Questionable,Moderate Blur
kurnaz_000016.jpg,train,640x640,401.24,156.53,6,Good,None
kurnaz_000017.jpg,train,640x640,284.51,170.33,30,Good,None
kurnaz_000018.jpg,train,640x640,598.62,175.91,30,Excellent,None
kurnaz_000019.jpg,train,640x640,471.81,174.83,30,Good,None
kurnaz_000020.jpg,train,640x640,304.92,177.36,28,Good,None
kurnaz_000021.jpg,train,640x640,119.65,165.45,31,Good,None
kurnaz_000022.jpg,train,640x640,80.03,164.04,31,Questionable,Moderate Blur
kurnaz_000023.jpg,train,640x640,338.74,138.68,16,Good,None
kurnaz_000024.jpg,train,640x640,366.39,136.99,16,Good,None
kurnaz_000025.jpg,train,640x640,600.25,175.74,12,Excellent,None
kurnaz_000026.jpg,train,640x640,29.02,185.16,17,Poor,Severe Blur
kurnaz_000027.jpg,train,640x640,127.31,146.63,9,Good,None
kurnaz_000028.jpg,train,640x640,441.19,178.03,12,Good,None
kurnaz_000029.jpg,train,640x640,506.89,185.88,12,Excellent,None
kurnaz_000030.jpg,train,640x640,640.4,197.16,13,Excellent,None
kurnaz_000031.jpg,train,640x640,421.17,187.24,9,Good,None
kurnaz_000032.jpg,train,640x640,30.41,183.15,23,Questionable,Moderate Blur
kurnaz_000033.jpg,train,640x640,31.68,175.4,23,Questionable,Moderate Blur
kurnaz_000034.jpg,train,640x640,275.15,168.9,36,Good,None
kurnaz_000035.jpg,train,640x640,304.87,166.94,36,Good,None
kurnaz_000036.jpg,train,640x640,334.96,155.58,3,Good,None
kurnaz_000037.jpg,train,640x640,390.3,166.0,3,Good,None
kurnaz_000038.jpg,train,640x640,230.27,153.14,6,Good,None
kurnaz_000039.jpg,train,640x640,65.3,170.17,17,Questionable,Moderate Blur
kurnaz_000040.jpg,train,640x640,195.72,206.34,4,Good,None
kurnaz_000041.jpg,train,640x640,267.68,169.69,5,Good,None
kurnaz_000042.jpg,train,640x640,542.85,201.3,14,Good,None
kurnaz_000043.jpg,train,640x640,325.87,161.88,5,Good,None
kurnaz_000044.jpg,train,640x640,343.54,159.99,5,Good,None
kurnaz_000045.jpg,train,640x640,193.06,166.28,9,Good,None
kurnaz_000046.jpg,train,640x640,115.32,154.42,9,Good,None
kurnaz_000047.jpg,train,640x640,396.08,140.76,28,Good,None
kurnaz_000048.jpg,train,640x640,40.91,138.99,22,Questionable,Moderate Blur
kurnaz_000049.jpg,train,640x640,165.02,137.9,22,Good,None
kurnaz_000050.jpg,train,640x640,154.78,127.74,7,Good,None
kurnaz_000051.jpg,train,640x640,115.83,114.1,5,Good,None
kurnaz_000052.jpg,train,640x640,143.78,81.12,13,Good,None
kurnaz_000053.jpg,train,640x640,226.15,130.97,12,Good,None
kurnaz_000054.jpg,train,640x640,164.02,140.64,9,Good,None
kurnaz_000055.jpg,train,640x640,202.69,170.28,13,Good,None
kurnaz_000056.jpg,train,640x640,343.21,167.28,13,Good,None
kurnaz_000057.jpg,train,640x640,292.82,189.24,16,Good,None
kurnaz_000058.jpg,train,640x640,84.78,189.65,6,Questionable,Moderate Blur
kurnaz_000059.jpg,train,640x640,105.12,193.8,6,Good,None
kurnaz_000060.jpg,train,640x640,1289.84,127.82,4,Excellent,None
kurnaz_000061.jpg,train,640x640,1351.69,129.19,4,Excellent,None
kurnaz_000062.jpg,train,640x640,258.75,203.38,10,Good,None
kurnaz_000063.jpg,train,640x640,133.76,196.87,5,Good,None
kurnaz_000064.jpg,train,640x640,405.58,178.92,0,Questionable,No Annotations
kurnaz_000065.jpg,train,640x640,351.17,170.38,0,Questionable,No Annotations
kurnaz_000066.jpg,train,640x640,354.88,162.16,13,Good,None
kurnaz_000067.jpg,train,640x640,552.08,163.68,13,Excellent,None
kurnaz_000068.jpg,train,640x640,84.55,180.04,13,Questionable,Moderate Blur
kurnaz_000069.jpg,train,640x640,676.95,172.25,7,Excellent,None
kurnaz_000070.jpg,train,640x640,538.75,140.47,30,Excellent,None
kurnaz_000071.jpg,train,640x640,212.01,158.15,11,Good,None
kurnaz_000072.jpg,train,640x640,83.93,113.47,31,Questionable,Moderate Blur
kurnaz_000073.jpg,train,640x640,79.98,123.03,31,Questionable,Moderate Blur
kurnaz_000074.jpg,train,640x640,113.39,114.28,20,Good,None
kurnaz_000075.jpg,train,640x640,243.83,127.48,62,Good,None
kurnaz_000076.jpg,train,640x640,322.72,155.99,25,Good,None
kurnaz_000077.jpg,train,640x640,234.7,150.04,13,Good,None
kurnaz_000078.jpg,train,640x640,91.3,123.37,18,Questionable,Moderate Blur
kurnaz_000079.jpg,train,640x640,139.59,187.7,21,Good,None
kurnaz_000080.jpg,train,640x640,399.73,139.17,71,Good,None
kurnaz_000081.jpg,train,640x640,326.89,143.83,71,Good,None
kurnaz_000082.jpg,train,640x640,343.81,156.4,15,Good,None
kurnaz_000083.jpg,train,640x640,185.13,130.03,9,Good,None
kurnaz_000084.jpg,train,640x640,212.82,126.64,9,Good,None
kurnaz_000085.jpg,train,640x640,194.08,123.91,25,Good,None
kurnaz_000086.jpg,train,640x640,175.13,129.99,6,Good,None
kurnaz_000087.jpg,train,640x640,72.9,122.79,18,Questionable,Moderate Blur
kurnaz_000088.jpg,train,640x640,36.39,103.13,30,Questionable,Moderate Blur
kurnaz_000089.jpg,train,640x640,255.56,167.42,17,Good,None
kurnaz_000090.jpg,train,640x640,224.94,153.33,13,Good,None
kurnaz_000091.jpg,train,640x640,324.17,158.16,13,Good,None
kurnaz_000092.jpg,train,640x640,127.46,154.6,7,Good,None
kurnaz_000093.jpg,train,640x640,183.01,154.28,7,Good,None
kurnaz_000094.jpg,train,640x640,302.75,196.17,26,Good,None
kurnaz_000095.jpg,train,640x640,359.53,191.79,18,Good,None
kurnaz_000096.jpg,train,640x640,49.17,181.24,21,Questionable,Moderate Blur
kurnaz_000097.jpg,train,640x640,262.58,152.89,17,Good,None
kurnaz_000098.jpg,train,640x640,809.73,112.42,61,Excellent,None
kurnaz_000099.jpg,train,640x640,804.65,118.01,61,Excellent,None
kurnaz_000100.jpg,train,640x640,824.77,151.45,14,Excellent,None
kurnaz_000101.jpg,train,640x640,391.26,182.37,12,Good,None
kurnaz_000102.jpg,train,640x640,538.39,182.07,12,Excellent,None
kurnaz_000103.jpg,train,640x640,630.49,155.65,13,Excellent,None
kurnaz_000104.jpg,train,640x640,125.55,178.0,7,Good,None
kurnaz_000105.jpg,train,640x640,328.88,140.06,27,Good,None
kurnaz_000106.jpg,train,640x640,576.24,172.81,38,Excellent,None
kurnaz_000107.jpg,train,640x640,781.72,117.65,31,Excellent,None
kurnaz_000108.jpg,train,640x640,415.72,198.91,24,Good,None
kurnaz_000109.jpg,train,640x640,392.61,205.72,24,Good,None
kurnaz_000110.jpg,train,640x640,331.38,208.67,9,Good,None
kurnaz_000111.jpg,train,640x640,711.62,178.32,26,Excellent,None
kurnaz_000112.jpg,train,640x640,451.18,170.02,17,Good,None
kurnaz_000113.jpg,train,640x640,444.55,166.2,17,Good,None
kurnaz_000114.jpg,train,640x640,327.31,171.62,17,Good,None
kurnaz_000115.jpg,train,640x640,236.94,197.62,8,Good,None
kurnaz_000116.jpg,train,640x640,298.66,141.09,14,Good,None
kurnaz_000117.jpg,train,640x640,178.78,159.81,6,Good,None
kurnaz_000118.jpg,train,640x640,38.37,162.28,6,Questionable,Moderate Blur
kurnaz_000119.jpg,train,640x640,22.68,140.94,4,Poor,Severe Blur
kurnaz_000120.jpg,train,640x640,218.15,144.69,4,Good,None
kurnaz_000121.jpg,train,640x640,35.72,143.21,4,Questionable,Moderate Blur
kurnaz_000122.jpg,train,640x640,50.7,142.99,7,Questionable,Moderate Blur
kurnaz_000123.jpg,train,640x640,69.16,153.82,11,Questionable,Moderate Blur
kurnaz_000124.jpg,train,640x640,261.88,172.9,6,Good,None
kurnaz_000125.jpg,train,640x640,73.38,183.51,8,Questionable,Moderate Blur
kurnaz_000126.jpg,train,640x640,219.44,181.6,8,Good,None
kurnaz_000127.jpg,train,640x640,362.1,125.43,3,Good,None
kurnaz_000128.jpg,train,640x640,109.95,125.57,3,Good,None
kurnaz_000129.jpg,train,640x640,27.24,110.19,8,Poor,Severe Blur
kurnaz_000130.jpg,train,640x640,143.46,194.01,18,Good,None
kurnaz_000131.jpg,train,640x640,52.09,175.48,17,Questionable,Moderate Blur
kurnaz_000132.jpg,train,640x640,148.25,182.45,17,Good,None
kurnaz_000133.jpg,train,640x640,254.9,168.96,14,Good,None
kurnaz_000134.jpg,train,640x640,247.77,171.47,14,Good,None
kurnaz_000135.jpg,train,640x640,162.57,201.65,16,Good,None
kurnaz_000136.jpg,train,640x640,36.57,206.73,16,Questionable,Moderate Blur
