original_filename,class,status,reason,duplicate_cluster,blur_score,quality_label,final_split
07Acne081101.jpg,acne_active,REMOVED,Duplicate of acne-cystic-12.jpg,1,574.41,high,N/A
07AcnePittedScars.jpg,acne_scar,RETAINED,Valid unique acne image,2,740.34,high,test
07AcnePittedScars1.jpg,acne_scar,RETAINED,Valid unique acne image,3,760.67,high,test
07PerioralDermEye.jpg,perioral_dermatitis,REJECTED,Diagnostic reject: perioral_dermatitis,N/A,613.29,reject,N/A
07PerioralDermNose.jpg,perioral_dermatitis,REJECTED,Diagnostic reject: perioral_dermatitis,N/A,486.32,reject,N/A
07PerioralDermq.jpg,perioral_dermatitis,REJECTED,Diagnostic reject: perioral_dermatitis,N/A,196.30,reject,N/A
07PerioralSteroid1.jpg,perioral_dermatitis,REJECTED,Diagnostic reject: perioral_dermatitis,N/A,379.60,reject,N/A
07PerlecheAccutane.jpg,perleche_accutane,REJECTED,Diagnostic reject: perleche_accutane,N/A,624.20,reject,N/A
07Rhinophyma1.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,1104.21,reject,N/A
07Rhinophyma1a.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,1267.87,reject,N/A
07Rhinophymaq.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,803.63,reject,N/A
07rhnophymas032105.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,388.40,reject,N/A
07rhnophymas0321051.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,228.22,reject,N/A
07rosacea010206OK.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,773.27,reject,N/A
07RosaceaForehead.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,382.16,reject,N/A
07RosaceaFulFAce.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,911.74,reject,N/A
07RosaceaK0216.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,1404.27,reject,N/A
07RosaceaK02161.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,1351.47,reject,N/A
07RosaceaK02162.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,1129.43,reject,N/A
07RosaceaK02163.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,1556.10,reject,N/A
07RosaceaK02164.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,1109.76,reject,N/A
07RosaceaK02165.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,1088.55,reject,N/A
07RosaceaK02166.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,2213.59,reject,N/A
07RosaceaMilia0120.jpg,milia,REJECTED,Diagnostic reject: milia,N/A,924.94,reject,N/A
07RosaceaOK082806.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,489.14,reject,N/A
07RosaceaOK0828062.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,1325.10,reject,N/A
07RosaceaOK0828063.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,561.12,reject,N/A
07RosaceaTel011204.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,557.80,reject,N/A
07rosaceaTreated091806OK.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,748.70,reject,N/A
07sebDerem110105.jpg,seborrheic_dermatitis,REJECTED,Diagnostic reject: seborrheic_dermatitis,N/A,268.07,reject,N/A
07sebDerem1101051.jpg,seborrheic_dermatitis,REJECTED,Diagnostic reject: seborrheic_dermatitis,N/A,590.76,reject,N/A
07sebDerem1101052.jpg,seborrheic_dermatitis,REJECTED,Diagnostic reject: seborrheic_dermatitis,N/A,564.00,reject,N/A
07SteroidPerioral.jpg,perioral_dermatitis,REJECTED,Diagnostic reject: perioral_dermatitis,N/A,599.26,reject,N/A
07SteroidRosacea.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,510.49,reject,N/A
07SteroidRosacea43.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,1453.34,reject,N/A
07SteroidRosGlab.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,1118.89,reject,N/A
07VascularFace0120.jpg,rosacea,REJECTED,Diagnostic reject: rosacea,N/A,1231.06,reject,N/A
