image_path,gt_count,dt_count,fp_count,fn_count,mean_tp_iou,total_errors
datasets/skin/acne/final/detection/valid/images/kurnaz_000391.jpg,31,26,22,27,0.6662626266479492,49
datasets/skin/acne/final/detection/valid/images/kurnaz_000389.jpg,52,18,6,40,0.6704115867614746,46
datasets/skin/acne/final/detection/valid/images/kurnaz_000390.jpg,38,34,20,24,0.6946893334388733,44
datasets/skin/acne/final/detection/valid/images/kurnaz_000365.jpg,21,39,30,12,0.6714761853218079,42
datasets/skin/acne/final/detection/valid/images/kurnaz_000383.jpg,20,33,24,11,0.6944357752799988,35
datasets/skin/acne/final/detection/valid/images/kurnaz_000416.jpg,34,28,14,20,0.6867227554321289,34
datasets/skin/acne/final/detection/valid/images/kurnaz_000394.jpg,30,46,24,8,0.7160001397132874,32
datasets/skin/acne/final/detection/valid/images/kurnaz_000381.jpg,30,46,24,8,0.651045560836792,32
datasets/skin/acne/final/detection/valid/images/kurnaz_000393.jpg,30,45,23,8,0.6762511134147644,31
datasets/skin/acne/final/detection/valid/images/kurnaz_000413.jpg,38,43,18,13,0.7042100429534912,31
datasets/skin/acne/final/detection/valid/images/kurnaz_000405.jpg,17,25,17,9,0.6769800186157227,26
datasets/skin/acne/final/detection/valid/images/kurnaz_000434.jpg,30,6,1,25,0.6832227110862732,26
datasets/skin/acne/final/detection/valid/images/kurnaz_000411.jpg,25,31,16,10,0.7093172669410706,26
datasets/skin/acne/final/detection/valid/images/kurnaz_000371.jpg,17,14,10,13,0.6868792772293091,23
datasets/skin/acne/final/detection/valid/images/kurnaz_000384.jpg,24,2,0,22,0.6730858683586121,22
datasets/skin/acne/final/detection/valid/images/kurnaz_000426.jpg,26,24,10,12,0.7012434601783752,22
datasets/skin/acne/final/detection/valid/images/kurnaz_000415.jpg,21,11,6,16,0.7164842486381531,22
datasets/skin/acne/final/detection/valid/images/kurnaz_000378.jpg,13,35,22,0,0.7132716774940491,22
datasets/skin/acne/final/detection/valid/images/kurnaz_000367.jpg,31,11,0,20,0.7012433409690857,20
datasets/skin/acne/final/detection/valid/images/kurnaz_000388.jpg,26,25,9,10,0.7147986888885498,19
datasets/skin/acne/final/detection/valid/images/kurnaz_000424.jpg,17,14,8,11,0.6903670430183411,19
datasets/skin/acne/final/detection/valid/images/kurnaz_000418.jpg,24,8,1,17,0.7366340756416321,18
datasets/skin/acne/final/detection/valid/images/kurnaz_000402.jpg,15,23,13,5,0.66055828332901,18
datasets/skin/acne/final/detection/valid/images/kurnaz_000386.jpg,21,21,9,9,0.7080304622650146,18
datasets/skin/acne/final/detection/valid/images/kurnaz_000392.jpg,15,23,13,5,0.7473403215408325,18
datasets/skin/acne/final/detection/valid/images/kurnaz_000366.jpg,17,18,9,8,0.6317216753959656,17
datasets/skin/acne/final/detection/valid/images/kurnaz_000417.jpg,9,18,13,4,0.6770540475845337,17
datasets/skin/acne/final/detection/valid/images/kurnaz_000369.jpg,9,17,12,4,0.7450281381607056,16
datasets/skin/acne/final/detection/valid/images/kurnaz_000432.jpg,17,1,0,16,0.6942129731178284,16
datasets/skin/acne/final/detection/valid/images/kurnaz_000406.jpg,17,5,2,14,0.6232520937919617,16
datasets/skin/acne/final/detection/valid/images/kurnaz_000399.jpg,14,11,6,9,0.6581135988235474,15
datasets/skin/acne/final/detection/valid/images/kurnaz_000403.jpg,15,16,8,7,0.7057768106460571,15
datasets/skin/acne/final/detection/valid/images/kurnaz_000427.jpg,13,1,1,13,0.0,14
datasets/skin/acne/final/detection/valid/images/kurnaz_000377.jpg,10,8,6,8,0.642244815826416,14
datasets/skin/acne/final/detection/valid/images/kurnaz_000373.jpg,14,25,12,1,0.6901133060455322,13
datasets/skin/acne/final/detection/valid/images/kurnaz_000376.jpg,7,8,7,6,0.5911831259727478,13
datasets/skin/acne/final/detection/valid/images/kurnaz_000370.jpg,15,10,4,9,0.6407143473625183,13
datasets/skin/acne/final/detection/valid/images/kurnaz_000397.jpg,14,15,7,6,0.7286826372146606,13
datasets/skin/acne/final/detection/valid/images/kurnaz_000422.jpg,7,12,9,4,0.6260685920715332,13
datasets/skin/acne/final/detection/valid/images/kurnaz_000409.jpg,12,7,4,9,0.7106242775917053,13
datasets/skin/acne/final/detection/valid/images/kurnaz_000414.jpg,7,8,7,6,0.7685398459434509,13
datasets/skin/acne/final/detection/valid/images/kurnaz_000423.jpg,16,19,8,5,0.6924713850021362,13
datasets/skin/acne/final/detection/valid/images/kurnaz_000385.jpg,21,13,2,10,0.7321777939796448,12
datasets/skin/acne/final/detection/valid/images/kurnaz_000382.jpg,20,18,5,7,0.6942296624183655,12
datasets/skin/acne/final/detection/valid/images/kurnaz_000404.jpg,12,15,7,4,0.6800574660301208,11
datasets/skin/acne/final/detection/valid/images/kurnaz_000407.jpg,10,9,5,6,0.6552422046661377,11
datasets/skin/acne/final/detection/valid/images/kurnaz_000421.jpg,14,9,3,8,0.7256706357002258,11
datasets/skin/acne/final/detection/valid/images/kurnaz_000380.jpg,13,3,0,10,0.7237414717674255,10
datasets/skin/acne/final/detection/valid/images/kurnaz_000374.jpg,9,1,1,9,0.0,10
datasets/skin/acne/final/detection/valid/images/kurnaz_000375.jpg,11,7,3,7,0.6755228042602539,10
